id,title,artist,composer,lyricist,arranger,producer,year,bpm
14q1qeRTrhTArvhILBJn,"失戀","草蜢","","","","",,
1ZI8mB6iF7dDUGDG2cmf,"ft.Selena We Don't Talk Anymore","Charlie Puth","","","","",,
2jHSEogbdIfkLWy3TNNr,"張美儀","Unknown","","","","",,
3pC1bQTUQjOjf4333JSe,"強","郭富城","","","","",,
3wXV3nNk314i6XCO7C6S,"有淚多好","林奕匡","","","","",,
3y1ZM6qHlr0rNmlv0oBf,"麥志誠 難為正邪定分界","葉振棠","","","","",,
41QzFonuEdl635aHjN1F,"4 Non Blondes","Whats up","","","","",,
4JXKpUDtIOOoRUWwveXi,"跳水 結他CHORD譜","劉浩龍","","","","",,
4sf1aK3Vka3L0ipQCsf6,"你是你本身的傳奇","方皓玟","","","","",,
62lcdi6EaU1sL4MPV12t,"百年樹木intro","Unknown","","","","",,
6IsEnLm1Q0wl1XcWaaIS,"MEDLEY","周柏豪","","","","",,
6VUcLOm3GprydXxadbzs,"心急人上","Cookies","","","","",,
6ohrgcAwY0Bc8ArzaJGf,"Lady Gaga Always Remember Us This Way","Unknown","","","","",,
6xqhYitjtTGA4ZszLpJH,"龍舌蘭","陳奕迅","","","","",,
73nAEw1qXJhfYyxUtipX,"[轉載好文章] 盧冠廷淺談電影配樂理論","Unknown","","","","",,
7Efi3RjtNcdwDxabLrLh,"說謊者 Liar","MC 張天賦","","","","",,
7VaWwFioyt4UWolx75jC,"行屍走肉","陳柏宇","","","","",,
7Y9oZaLK6d7aHva6otKj,"癡心絕對","李聖傑","","","","",,
7Zpws4BY9TUVVxV1Hh9f,"葵青區","Unknown","","","","",,
89DAqCHiZM0qyVrPWytM,"霸氣情歌","陳柏宇","","","","",,
98TmJxWbjksfxmWy79Qo,"如果太多牛奶味","朱咪咪","","","","",,
ADvuorzLZ253y3kJLtqO,"大丈夫","Supper Moment","","","","",,
BDcw9L98C6Nah8v7y7vK,"各種經典老歌曲 Medley","ButterWorks","","","","",,
